number,opened_at,resolved_at,closed_at,priority,urgency,impact,category,assignment_group,reassignment_count,reopen_count,made_sla,resolution_time_hours,sla_status
INC0006376,2016-03-14 07:42:00,2016-03-14 16:01:00,2016-03-24 18:51:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 28,2,0,false,8.316666666666666,Breached SLA
INC0006380,2016-03-14 07:50:00,2016-03-14 13:56:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,2,0,false,6.1,Breached SLA
INC0006383,2016-03-14 07:57:00,2016-03-14 08:03:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 51,Group 64,0,0,false,0.1,Breached SLA
INC0006385,2016-03-14 07:58:00,2016-03-14 14:29:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 24,1,0,false,6.516666666666667,Breached SLA
INC0006387,2016-03-14 08:05:00,2016-03-14 08:22:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 51,Group 64,0,0,false,0.2833333333333333,Breached SLA
INC0006389,2016-03-14 08:11:00,2016-03-28 15:05:00,2016-04-02 15:59:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 24,6,0,false,342.9,Breached SLA
INC0006390,2016-03-14 08:11:00,2016-03-14 12:29:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,1,0,false,4.3,Breached SLA
INC0006392,2016-03-14 08:12:00,2016-03-15 12:04:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 27,2,0,false,27.866666666666667,Breached SLA
INC0006393,2016-03-14 08:12:00,2016-03-17 16:50:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 61,Group 73,1,0,false,80.63333333333334,Breached SLA
INC0006397,2016-03-14 08:19:00,2016-03-17 15:44:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 39,3,0,false,79.41666666666667,Breached SLA
INC0006398,2016-03-14 08:20:00,2016-03-14 14:57:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 43,Group 39,1,0,false,6.616666666666666,Breached SLA
INC0006400,2016-03-14 08:21:00,2016-03-16 14:30:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 26,2,0,false,54.15,Breached SLA
INC0006401,2016-03-14 08:24:00,2016-03-14 09:13:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 51,Group 64,0,0,false,0.8166666666666667,Breached SLA
INC0006402,2016-03-14 08:24:00,2016-03-16 08:55:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 69,2,0,false,48.516666666666666,Breached SLA
INC0006403,2016-03-14 08:24:00,2016-03-15 13:40:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 57,Group 34,0,0,false,29.266666666666666,Breached SLA
INC0006407,2016-03-14 08:28:00,2016-03-22 14:09:00,2016-03-27 14:59:00,3 - moderate,2 - Medium,2 - Medium,category 23,Group 65,2,0,false,197.68333333333334,Breached SLA
INC0006408,2016-03-14 08:28:00,2016-03-23 12:16:00,2016-03-28 12:59:00,3 - moderate,2 - Medium,2 - Medium,category 40,Group 70,4,0,false,219.8,Breached SLA
INC0006412,2016-03-14 08:31:00,2016-03-23 12:24:00,2016-03-28 12:59:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 70,2,0,false,219.88333333333333,Breached SLA
INC0006413,2016-03-14 08:32:00,2016-03-23 12:32:00,2016-03-28 12:59:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 70,1,0,false,220.0,Breached SLA
INC0006417,2016-03-14 08:35:00,2016-03-31 10:39:00,2016-04-05 10:59:00,3 - moderate,2 - Medium,2 - Medium,category 23,Group 72,1,0,false,410.06666666666666,Breached SLA
INC0006419,2016-03-14 08:35:00,2016-03-24 10:33:00,2016-03-29 10:59:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,2,0,false,241.96666666666667,Breached SLA
INC0006420,2016-03-14 08:36:00,2016-03-24 13:20:00,2016-03-29 13:59:00,3 - moderate,2 - Medium,2 - Medium,category 40,Group 70,1,0,false,244.73333333333332,Breached SLA
INC0006421,2016-03-14 08:37:00,2016-03-17 15:01:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 25,1,0,false,78.4,Breached SLA
INC0006422,2016-03-14 08:38:00,2016-03-14 08:43:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,0,0,false,0.08333333333333333,Breached SLA
INC0006423,2016-03-14 08:40:00,2016-03-14 13:00:00,2016-04-14 03:46:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 24,4,0,false,4.333333333333333,Breached SLA
INC0006424,2016-03-14 08:41:00,2016-03-15 08:53:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 28,Group 24,1,0,false,24.2,Breached SLA
INC0006425,2016-03-14 08:41:00,2016-03-18 11:53:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 24,0,0,false,99.2,Breached SLA
INC0006426,2016-03-14 08:41:00,2016-03-31 09:50:00,2016-04-05 09:59:00,3 - moderate,2 - Medium,2 - Medium,category 23,Group 28,1,0,false,409.15,Breached SLA
INC0006429,2016-03-14 08:42:00,2016-03-14 11:03:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 46,Group 27,0,0,false,2.35,Breached SLA
INC0006430,2016-03-14 08:43:00,2016-03-25 02:11:00,2016-03-30 02:59:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 70,1,0,false,257.46666666666664,Breached SLA
INC0006431,2016-03-14 08:43:00,2016-03-22 11:57:00,2016-03-27 11:59:00,2 - high,2 - Medium,1 - High,category 13,Group 70,1,0,false,195.23333333333332,Breached SLA
INC0006432,2016-03-14 08:43:00,2016-03-15 11:28:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 50,2,0,false,26.75,Breached SLA
INC0006433,2016-03-14 08:44:00,2016-03-15 11:30:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 32,,0,0,false,26.766666666666666,Breached SLA
INC0006435,2016-03-14 08:45:00,2016-03-17 15:45:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 65,2,0,false,79.0,Breached SLA
INC0006436,2016-03-14 08:45:00,2016-03-14 15:14:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 70,1,0,false,6.483333333333333,Breached SLA
INC0006437,2016-03-14 08:47:00,2016-03-14 10:18:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 28,0,0,false,1.5166666666666666,Breached SLA
INC0006438,2016-03-14 08:48:00,2016-03-23 07:56:00,2016-03-28 07:59:00,3 - moderate,2 - Medium,2 - Medium,category 61,Group 73,1,0,false,215.13333333333333,Breached SLA
INC0006440,2016-03-14 08:49:00,2016-03-16 09:47:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 46,Group 6,1,0,false,48.96666666666667,Breached SLA
INC0006441,2016-03-14 08:50:00,2016-03-15 14:02:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 24,1,0,false,29.2,Breached SLA
INC0006443,2016-03-14 08:53:00,2016-03-14 12:15:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,1,0,false,3.3666666666666667,Breached SLA
INC0006444,2016-03-14 08:54:00,2016-03-14 09:02:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,0,0,false,0.13333333333333333,Breached SLA
INC0006445,2016-03-14 08:54:00,2016-03-23 14:47:00,2016-03-28 14:59:00,3 - moderate,2 - Medium,2 - Medium,category 35,Group 70,1,0,false,221.88333333333333,Breached SLA
INC0006446,2016-03-14 08:55:00,2016-03-14 13:19:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,1,0,false,4.4,Breached SLA
INC0006447,2016-03-14 08:55:00,2016-03-16 13:28:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 70,1,0,false,52.55,Breached SLA
INC0006448,2016-03-14 08:56:00,2016-03-29 14:23:00,2016-04-03 14:59:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 29,2,0,false,365.45,Breached SLA
INC0006450,2016-03-14 08:57:00,2016-03-15 09:54:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 44,Group 73,1,0,false,24.95,Breached SLA
INC0006451,2016-03-14 08:57:00,2016-03-16 10:22:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 30,1,0,false,49.416666666666664,Breached SLA
INC0006452,2016-03-14 08:57:00,2016-03-14 17:21:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 30,2,0,false,8.4,Breached SLA
INC0006454,2016-03-14 09:02:00,2016-03-31 09:10:00,2016-04-05 09:59:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 25,1,0,false,408.1333333333333,Breached SLA
INC0006455,2016-03-14 09:04:00,2016-03-14 17:15:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 28,1,0,false,8.183333333333334,Breached SLA
INC0006457,2016-03-14 09:04:00,2016-03-14 16:39:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 40,Group 70,1,0,false,7.583333333333333,Breached SLA
INC0006459,2016-03-14 09:06:00,2016-03-16 14:00:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 46,Group 33,2,0,false,52.9,Breached SLA
INC0006461,2016-03-14 09:07:00,2016-03-14 11:54:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,0,0,false,2.783333333333333,Breached SLA
INC0006463,2016-03-14 09:11:00,2016-03-21 09:12:00,2016-03-26 09:59:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 24,1,0,false,168.01666666666668,Breached SLA
INC0006464,2016-03-14 09:11:00,2016-03-24 12:29:00,2016-03-29 12:59:00,3 - moderate,2 - Medium,2 - Medium,category 51,Group 20,3,0,false,243.3,Breached SLA
INC0006465,2016-03-14 09:13:00,2016-03-15 08:03:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 51,Group 64,0,0,false,22.833333333333332,Breached SLA
INC0006466,2016-03-14 09:14:00,2016-03-23 14:49:00,2016-03-28 14:59:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,1,0,false,221.58333333333334,Breached SLA
INC0006467,2016-03-14 09:14:00,2016-03-14 14:49:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 70,1,0,false,5.583333333333333,Breached SLA
INC0006469,2016-03-14 09:16:00,2016-03-15 13:28:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 70,1,0,false,28.2,Breached SLA
INC0006470,2016-03-14 09:16:00,2016-03-14 11:14:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,0,0,false,1.9666666666666666,Breached SLA
INC0006471,2016-03-14 09:17:00,2016-03-23 09:44:00,2016-03-28 09:59:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 25,3,0,false,216.45,Breached SLA
INC0006472,2016-03-14 09:18:00,2016-03-14 09:46:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 53,,0,0,false,0.4666666666666667,Breached SLA
INC0006473,2016-03-14 09:18:00,2016-03-15 10:16:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 25,1,0,false,24.966666666666665,Breached SLA
INC0006474,2016-03-14 09:18:00,2016-03-14 13:43:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 28,1,0,false,4.416666666666667,Breached SLA
INC0006476,2016-03-14 09:19:00,2016-03-22 09:01:00,2016-03-27 09:59:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,7,0,false,191.7,Breached SLA
INC0006480,2016-03-14 09:20:00,2016-03-14 11:51:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 56,5,0,false,2.5166666666666666,Breached SLA
INC0006481,2016-03-14 09:25:00,2016-03-14 16:36:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,1,0,false,7.183333333333334,Breached SLA
INC0006483,2016-03-14 09:26:00,2016-03-16 19:17:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,4,0,false,57.85,Breached SLA
INC0006485,2016-03-14 09:28:00,2016-03-18 14:34:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 30,2,0,false,101.1,Breached SLA
INC0006486,2016-03-14 09:29:00,2016-03-15 17:15:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 6,2,0,false,31.766666666666666,Breached SLA
INC0006487,2016-03-14 09:30:00,2016-03-16 15:58:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 32,Group 70,3,0,false,54.46666666666667,Breached SLA
INC0006488,2016-03-14 09:30:00,2016-03-14 14:05:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 3,1,0,false,4.583333333333333,Breached SLA
INC0006490,2016-03-14 09:31:00,2016-03-15 15:46:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 50,3,0,false,30.25,Breached SLA
INC0006491,2016-03-14 09:32:00,2016-03-14 15:07:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 27,0,0,false,5.583333333333333,Breached SLA
INC0006492,2016-03-14 09:33:00,2016-03-15 11:57:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 70,1,0,false,26.4,Breached SLA
INC0006493,2016-03-14 09:34:00,2016-03-14 11:36:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 55,0,0,false,2.033333333333333,Breached SLA
INC0006494,2016-03-14 09:36:00,2016-03-23 11:00:00,2016-03-28 11:59:00,3 - moderate,2 - Medium,2 - Medium,category 61,Group 73,1,0,false,217.4,Breached SLA
INC0006495,2016-03-14 09:37:00,2016-03-14 13:14:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,1,0,false,3.6166666666666667,Breached SLA
INC0006497,2016-03-14 09:39:00,2016-03-15 11:59:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 24,Group 30,0,0,false,26.333333333333332,Breached SLA
INC0006499,2016-03-14 09:40:00,2016-03-14 14:25:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 24,0,0,false,4.75,Breached SLA
INC0006502,2016-03-14 09:45:00,2016-03-14 11:03:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 9,Group 24,0,0,false,1.3,Breached SLA
INC0006504,2016-03-14 09:48:00,2016-03-23 10:05:00,2016-03-28 10:59:00,3 - moderate,2 - Medium,2 - Medium,category 61,Group 73,1,0,false,216.28333333333333,Breached SLA
INC0006508,2016-03-14 09:51:00,2016-03-14 10:18:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 46,Group 70,1,0,false,0.45,Breached SLA
INC0006509,2016-03-14 09:53:00,2016-03-23 10:01:00,2016-03-28 10:59:00,3 - moderate,2 - Medium,2 - Medium,category 61,Group 73,1,0,false,216.13333333333333,Breached SLA
INC0006510,2016-03-14 09:54:00,2016-03-31 10:39:00,2016-04-05 10:59:00,3 - moderate,2 - Medium,2 - Medium,category 24,Group 24,0,0,false,408.75,Breached SLA
INC0006511,2016-03-14 09:54:00,2016-03-14 09:57:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 51,Group 64,0,0,false,0.05,Breached SLA
INC0006513,2016-03-14 09:55:00,2016-03-21 16:27:00,2016-03-26 16:59:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 25,0,0,false,174.53333333333333,Breached SLA
INC0006514,2016-03-14 09:58:00,2016-03-15 08:04:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 51,Group 64,0,0,false,22.1,Breached SLA
INC0006516,2016-03-14 10:00:00,2016-03-15 14:43:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 27,1,0,false,28.716666666666665,Breached SLA
INC0006517,2016-03-14 10:01:00,2016-03-30 10:57:00,2016-04-04 10:59:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 26,2,0,false,384.93333333333334,Breached SLA
INC0006519,2016-03-14 10:02:00,2016-03-16 13:23:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 26,Group 24,3,0,false,51.35,Breached SLA
INC0006520,2016-03-14 10:02:00,2016-03-14 18:14:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 25,1,0,false,8.2,Breached SLA
INC0006521,2016-03-14 10:03:00,2016-03-14 10:13:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,0,0,false,0.16666666666666666,Breached SLA
INC0006522,2016-03-14 10:04:00,2016-03-18 09:36:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 57,Group 25,0,0,false,95.53333333333333,Breached SLA
INC0006525,2016-03-14 10:08:00,2016-03-23 15:46:00,2016-03-28 15:59:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 70,2,0,false,221.63333333333333,Breached SLA
INC0006526,2016-03-14 10:08:00,2016-03-14 13:26:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 46,Group 70,1,0,false,3.3,Breached SLA
INC0006527,2016-03-14 10:08:00,2016-03-17 10:55:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 25,1,0,false,72.78333333333333,Breached SLA
INC0006528,2016-03-14 10:08:00,2016-03-17 16:46:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 46,Group 39,1,0,false,78.63333333333334,Breached SLA
INC0006529,2016-03-14 10:09:00,2016-03-15 12:02:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 37,Group 46,1,0,false,25.883333333333333,Breached SLA
INC0006530,2016-03-14 10:09:00,2016-03-22 13:00:00,2016-03-27 13:59:00,3 - moderate,2 - Medium,2 - Medium,category 53,Group 25,4,0,false,194.85,Breached SLA
INC0006532,2016-03-14 10:11:00,2016-03-14 13:27:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 42,Group 70,1,0,false,3.2666666666666666,Breached SLA
INC0006534,2016-03-14 10:13:00,2016-03-17 11:14:00,2016-03-24 19:00:00,3 - moderate,2 - Medium,2 - Medium,category 57,Group 76,1,0,false,73.01666666666667,Breached SLA
INC0006537,2016-03-14 10:15:00,2016-03-14 13:07:00,2016-03-24 18:52:00,3 - moderate,2 - Medium,2 - Medium,category 20,Group 70,1,0,false,2.8666666666666667,Breached SLA
